sentiment,text,duplicate_key
0,"@Spitphyre I totally lurve them myself Ree, though they're a bit snug around my waist  Thanks for the dose of enthu! ","@spitphyre i totally lurve them myself ree, though they're a bit snug around my waist thanks for the dose of enthu!"
1,@GoetzMehroxoff  Oh well!  Thank goodness homework days are over,@goetzmehroxoff oh well! thank goodness homework days are over
1,"Hectic day tomorrow gotta get up early  night all, tweet laters ","hectic day tomorrow gotta get up early night all, tweet laters"
1,Getting ready for school - second maths test today  also its my last day of 3rd year!! Next week i will officially be in 4th year ,getting ready for school - second maths test today also its my last day of 3rd year!! next week i will officially be in 4th year
0,tomorrow i prepare to fail  I don't understand any of it can't wait until its ok though ,tomorrow i prepare to fail i don't understand any of it can't wait until its ok though
0,@chenks seen that!  hopefully ebay replacement  will work for you!  but take it to bits anyway! lol,@chenks seen that! hopefully ebay replacement will work for you! but take it to bits anyway! lol
0,"so glad it is friday  two classes, then lazy afternoon. too bad it isnt nice and warm out today ","so glad it is friday two classes, then lazy afternoon. too bad it isnt nice and warm out today"
0,@Hebbie mornin hebbie  sun's shinin over here in germany too..not for much longer though..storms on the way ,@hebbie mornin hebbie sun's shinin over here in germany too..not for much longer though..storms on the way
0,@pepperlive...must have been a gnarly ny show....no tweets from you guys this morning  hahaha....have a blasty blast tongiht ,@pepperlive...must have been a gnarly ny show....no tweets from you guys this morning hahaha....have a blasty blast tongiht
1,@JonathanRKnight ,@jonathanrknight
0,@AllTimeCassie i know but i wish they could  just like each day have the hustlers meet at the gk tent and then party on the bus.  i wish,@alltimecassie i know but i wish they could just like each day have the hustlers meet at the gk tent and then party on the bus. i wish
0,"Ugh.. Im tired but i don't wanna go to bed  btw, 17 Again was AWESOME!  Uh.. im so bored.  Well well, i always find something to do.. XD","ugh.. im tired but i don't wanna go to bed btw, 17 again was awesome! uh.. im so bored. well well, i always find something to do.. xd"
0,@ashleigh92 i might of done 8) i want it to look good for you comin back baby  i miss you  not long now though ;o i love you xxx,@ashleigh92 i might of done 8) i want it to look good for you comin back baby i miss you not long now though ;o i love you xxx
1,tonight is gonna to be soooo great!!  we the kings and hey monday!! &lt;3 quite annoyed that i cant stay at rosies house after though ,tonight is gonna to be soooo great!! we the kings and hey monday!! <3 quite annoyed that i cant stay at rosies house after though
0,@JonathanRKnight ,@jonathanrknight
0,"@semsy Me either! Poor guy  Anyway, how are ya? ","@semsy me either! poor guy anyway, how are ya?"
0,on the phone to @loveisonitsway ,on the phone to @loveisonitsway
1,"Shreveport this week for 311, NOLA next week for Wills wedding...ahhh, time away from manager mode!  now off to manager mode ","shreveport this week for 311, nola next week for wills wedding...ahhh, time away from manager mode! now off to manager mode"
0,No school until Wednesday!  ..and then exam on Friday ,no school until wednesday! ..and then exam on friday
1,Singapore was OFF THE HOOK last night  forced my self up early to see the place in the day as i leave at 11pm tonight  not enough time!,singapore was off the hook last night forced my self up early to see the place in the day as i leave at 11pm tonight not enough time!
1,Ahhhh. I missed seeing JB on sportscenter.  &amp; Happy saturday!!!  Mariah (:,ahhhh. i missed seeing jb on sportscenter. & happy saturday!!! mariah (:
1,@killasluddie i knoww! i was   i accidently unfollowed u n now i realsed! ,@killasluddie i knoww! i was i accidently unfollowed u n now i realsed!
1,Takin' a study break to grab lunch w/zee momma at my favorite veggie place!  I wish they had 'em out in LA! ,takin' a study break to grab lunch w/zee momma at my favorite veggie place! i wish they had 'em out in la!
0,On my way to school in about less than and hour  i don;t like school seein' as i dint do my coursework mwahahahahha! ,on my way to school in about less than and hour i don;t like school seein' as i dint do my coursework mwahahahahha!
1,goodnight ,goodnight
1,"so glad it is friday  two classes, then lazy afternoon. too bad it isnt nice and warm out today ","so glad it is friday two classes, then lazy afternoon. too bad it isnt nice and warm out today"
1,@MANDY_EMMERSON me to but cannot anymore  have a good one ,@mandy_emmerson me to but cannot anymore have a good one
1,"@fatbottomed Y  I'm picking it up tomorrow though, hopefully ","@fatbottomed y i'm picking it up tomorrow though, hopefully"
0,@Storm_Crow Oh dear poor @crag_du  he'll be hungry lol.  Have been successful with my google calendar/Tiff baiting ,@storm_crow oh dear poor @crag_du he'll be hungry lol. have been successful with my google calendar/tiff baiting
1,good morning twitter ,good morning twitter
1,"@makinherownway aww. i really wana go to 3Oh!3, The Acadmey is n you me at six  but i think im goin 2 SS n the getaway plan is in 2wks ","@makinherownway aww. i really wana go to 3oh!3, the acadmey is n you me at six but i think im goin 2 ss n the getaway plan is in 2wks"
0,@mileycyrus I voted  Multiple times  But it's not on TV here tonight  I wonder when I'll see it...,@mileycyrus i voted multiple times but it's not on tv here tonight i wonder when i'll see it...
1,Yipee my stylus was on my desk at work  Boo i'm back in work ,yipee my stylus was on my desk at work boo i'm back in work
0,@marginatasnaily is that yeah right good idea  or yeah rite   ?,@marginatasnaily is that yeah right good idea or yeah rite ?
1,@marginatasnaily is that yeah right good idea  or yeah rite   ?,@marginatasnaily is that yeah right good idea or yeah rite ?
1,@ShanteCurtis idk...cuz i still have college to finish from august to december  i think i'll be there for like 10 days or 2 weeks maybe ,@shantecurtis idk...cuz i still have college to finish from august to december i think i'll be there for like 10 days or 2 weeks maybe
0,OOooooh Violet Hill is at 42 plays on my itunes   im gonna change that by playing it again ,ooooooh violet hill is at 42 plays on my itunes im gonna change that by playing it again
1,Hello ALL  How we doin this fine day! its so cold today ,hello all how we doin this fine day! its so cold today
1,Dinner Was Good  Dont Wanna Do History Homework ,dinner was good dont wanna do history homework
1,@DavidArchie please make my day..  hope you could reply just a simple &quot;hi&quot;. i would totally be happy for the rest of the year. ,"@davidarchie please make my day.. hope you could reply just a simple ""hi"". i would totally be happy for the rest of the year."
0,@MCRmuffin ,@mcrmuffin
1,Good Morning Twitter ,good morning twitter
0,"@quinnifer_ I know, makes me miss my chance with the Carter brothers  thanks! ","@quinnifer_ i know, makes me miss my chance with the carter brothers thanks!"
1,@mcraddictal ,@mcraddictal
0,@dtsn Is it positive or negative?  or ,@dtsn is it positive or negative? or
1,@lidles yeahh  all well mum can explain to all of them why and now she owes me like dubble sleep overss hehe ,@lidles yeahh all well mum can explain to all of them why and now she owes me like dubble sleep overss hehe
1,"@DannyGirlAlways Ok I still feel kind of bad though  I will make it up to you later on, on here  I promise!!","@dannygirlalways ok i still feel kind of bad though i will make it up to you later on, on here i promise!!"
0,"@sofiesunshine awesome  i'm really looking forward to it, hope Ness is better though  bless her","@sofiesunshine awesome i'm really looking forward to it, hope ness is better though bless her"
1,Mediocre #thunderstorm rolling through South West of #Poughkeepsie. I'm told this morning's which I mostly slept thru  was a classic ,mediocre #thunderstorm rolling through south west of #poughkeepsie. i'm told this morning's which i mostly slept thru was a classic
0,At work ,at work
1,"@Rogue_Leader It is technically morning.. Bit after 1am.. Lol. I know, I missed out  time for sleep now hopefully ","@rogue_leader it is technically morning.. bit after 1am.. lol. i know, i missed out time for sleep now hopefully"
0,"Off to look at #Python books, along with the USUAL weekly shop.  Computer book selection in #Poughkeepsie is pretty limited. ","off to look at #python books, along with the usual weekly shop. computer book selection in #poughkeepsie is pretty limited."
1,"@mclamb4life2 I went there for work experience, LOL. Well it was lovely talking to you ;) I have school soon  I hope we can talk later! ","@mclamb4life2 i went there for work experience, lol. well it was lovely talking to you ;) i have school soon i hope we can talk later!"
0,@clickwindrepeat she has a bald spot on her back that she won't leave alone.    @ChiefDork whipped up the piece of couture.  ,@clickwindrepeat she has a bald spot on her back that she won't leave alone. @chiefdork whipped up the piece of couture.
1,on the phone to @loveisonitsway ,on the phone to @loveisonitsway
0,"@DiSCOLENA no  haha, I don't know any soccer players ","@discolena no haha, i don't know any soccer players"
1,@rapping_fa   sorry to hear...i had my fingers crossed for you the whole time! hope to fly with you one of these days ,@rapping_fa sorry to hear...i had my fingers crossed for you the whole time! hope to fly with you one of these days
1,@MCRmuffin ,@mcrmuffin
0,@mochared awww  well u need motivationnn! ill motivate u ,@mochared awww well u need motivationnn! ill motivate u
0,@GSemillano oh no. not Subway too!!  and since i'm ordering i can't really see how the salad until they deliver. i'll keep u posted ,@gsemillano oh no. not subway too!! and since i'm ordering i can't really see how the salad until they deliver. i'll keep u posted
0,"@fatbottomed Y  I'm picking it up tomorrow though, hopefully ","@fatbottomed y i'm picking it up tomorrow though, hopefully"
0,"@GhadaSmallworld Good morning!  Sorry to hear about your monitor. If it is dead, it's cheaper to get a new one over trying to fix it. ","@ghadasmallworld good morning! sorry to hear about your monitor. if it is dead, it's cheaper to get a new one over trying to fix it."
1,On my way to school in about less than and hour  i don;t like school seein' as i dint do my coursework mwahahahahha! ,on my way to school in about less than and hour i don;t like school seein' as i dint do my coursework mwahahahahha!
1,@teamdangerrr DANG! I WOULD FORGET TO COME ON TWITTER EVERDAY  i should make twitter my home page  LOL!,@teamdangerrr dang! i would forget to come on twitter everday i should make twitter my home page lol!
0,&quot;@mileycyrus&quot;you are the best!!!! I love you  can you give me your e-mail??? I want to write with you but I cant ,"""@mileycyrus""you are the best!!!! i love you can you give me your e-mail??? i want to write with you but i cant"
1,"@RussellBfan90 im gona sunbathe alllllll day  i dont know how to do it hun, mysti had to talk me thru it step by step!  xxx","@russellbfan90 im gona sunbathe alllllll day i dont know how to do it hun, mysti had to talk me thru it step by step! xxx"
1,@KraseyBeauty omg. Lucky bum  Canada always miss out awesome events like those. Lolz keep us up to date tmr ,@kraseybeauty omg. lucky bum canada always miss out awesome events like those. lolz keep us up to date tmr
1,Haha scary movie is on mtv  but I can't watch it gotta wake up early tomorrow ,haha scary movie is on mtv but i can't watch it gotta wake up early tomorrow
1,@shaki_sm I'll have a look. Do you live in the centre of Glasgow? I was born on Bellshill &amp; grew up in Bothwell. I miss Tunnocks pies  ,@shaki_sm i'll have a look. do you live in the centre of glasgow? i was born on bellshill & grew up in bothwell. i miss tunnocks pies
1,@mochared awww  well u need motivationnn! ill motivate u ,@mochared awww well u need motivationnn! ill motivate u
1,"I really need to talk to you @irisvarsi, cause I think I really have a serious JB fever...  ","i really need to talk to you @irisvarsi, cause i think i really have a serious jb fever..."
0,@LimeIce i told yoooo... and i asked you for ur number as well  but pictures comminup this week ,@limeice i told yoooo... and i asked you for ur number as well but pictures comminup this week
0,@mcraddictal ,@mcraddictal
0,Going to shower now. ,going to shower now.
1,Good Morning Czech Republic now It's 5:17 AM  and I'm so very tired ,good morning czech republic now it's 5:17 am and i'm so very tired
1,"@GhadaSmallworld Good morning!  Sorry to hear about your monitor. If it is dead, it's cheaper to get a new one over trying to fix it. ","@ghadasmallworld good morning! sorry to hear about your monitor. if it is dead, it's cheaper to get a new one over trying to fix it."
1,"Come mister tally man, tally me corona... daylight came and now it goes home  need more drinkies! ","come mister tally man, tally me corona... daylight came and now it goes home need more drinkies!"
0,"@zaneology That's funny! He IS a clever one!  (Sad, though, that the kind of joke *I* would come up with is on a 4-year-old level  )","@zaneology that's funny! he is a clever one! (sad, though, that the kind of joke *i* would come up with is on a 4-year-old level )"
0,@Fifi1976 lucky you. I envy you. I wish was away  have fun tho ,@fifi1976 lucky you. i envy you. i wish was away have fun tho
0,   Goodnight   ,goodnight
1,Operation go buy SIMS before school = FAIL!  Ghetto Wal-mart...can seem to locate the box they all came in! I got the okie doke! ,operation go buy sims before school = fail! ghetto wal-mart...can seem to locate the box they all came in! i got the okie doke!
0,@Kcatz mon night  ..you coming????? ,@kcatz mon night ..you coming?????
1,@tommcfly toooooooooooooom  tell me that you'll be right back to Brazil soon ,@tommcfly toooooooooooooom tell me that you'll be right back to brazil soon
1,@jepsipepsi awww rain?  it's so hot and sunny here in Ipswich ,@jepsipepsi awww rain? it's so hot and sunny here in ipswich
1,Goodnight ,goodnight
1,@TessMorris Hello Tess!   Got my cholestrol results! they need to come down! I was expecting that!   Other results good! ),@tessmorris hello tess! got my cholestrol results! they need to come down! i was expecting that! other results good! )
0,"Hectic day tomorrow gotta get up early  night all, tweet laters ","hectic day tomorrow gotta get up early night all, tweet laters"
1,No school until Wednesday!  ..and then exam on Friday ,no school until wednesday! ..and then exam on friday
0,@Bass_ I'd appreciate one if you can rustle it up. No idea how to do it myself  Thanks ,@bass_ i'd appreciate one if you can rustle it up. no idea how to do it myself thanks
1, back to maths. i wish i could stab it. but at least i have another red bull ,back to maths. i wish i could stab it. but at least i have another red bull
1,Good morning Twitter ,good morning twitter
1,"@R41NBOW Ah, you got it?! It's AMAZING  Why isn't it working? ","@r41nbow ah, you got it?! it's amazing why isn't it working?"
0,http://twitpic.com/7j5j7 -  @jonasbrothers I miss you ,http://twitpic.com/7j5j7 - @jonasbrothers i miss you
1,@MarcLittlemore aye paid for the full version of AirportMania - spent nearly a hole night on it  Will give Stoneloops a go  ta,@marclittlemore aye paid for the full version of airportmania - spent nearly a hole night on it will give stoneloops a go ta
0,@berntina I know I thought it was great.. 3 teacup pups cornering a huge moutain lion! lol   I just hope they didn't kill the lion. ,@berntina i know i thought it was great.. 3 teacup pups cornering a huge moutain lion! lol i just hope they didn't kill the lion.
0,@GoetzMehroxoff  Oh well!  Thank goodness homework days are over,@goetzmehroxoff oh well! thank goodness homework days are over
1,@emoisforluvers whole shelf!  oh and blood starts after 90 seconds. Fast forward to it ,@emoisforluvers whole shelf! oh and blood starts after 90 seconds. fast forward to it
1,@rdelizo35 i misplaced the link  hit it past me again and ill go and look ,@rdelizo35 i misplaced the link hit it past me again and ill go and look
1,still in my bed with a lovely hot guy next to me!  feeling good!!! hehe!! need to begin the endless process of feeding him now! ,still in my bed with a lovely hot guy next to me! feeling good!!! hehe!! need to begin the endless process of feeding him now!
0,"@_ophelia danny wasn't there  just angela, craig and Robert!! Was a great day though ","@_ophelia danny wasn't there just angela, craig and robert!! was a great day though"
0,@shellrawlins we were going to the pub but fre has a tummy bug  I don't mind I like cooking ,@shellrawlins we were going to the pub but fre has a tummy bug i don't mind i like cooking
1,Goodnight  ,goodnight
0,@rapping_fa   sorry to hear...i had my fingers crossed for you the whole time! hope to fly with you one of these days ,@rapping_fa sorry to hear...i had my fingers crossed for you the whole time! hope to fly with you one of these days
1,@MussoMitchel i know you're busy replying.. but I wrote to you the last few days and you never once answered me  don't ya like me? ,@mussomitchel i know you're busy replying.. but i wrote to you the last few days and you never once answered me don't ya like me?
0,"@zestylime A bit, yeah, thanks.  Missed Fizzy and Chris for the second day in a row, though. ","@zestylime a bit, yeah, thanks. missed fizzy and chris for the second day in a row, though."
0,"@PsychicVeg He is fine thx  Weather bn really hot &amp; weird last couple of days, but a nice cold wind has broken that. Humidity will suck ","@psychicveg he is fine thx weather bn really hot & weird last couple of days, but a nice cold wind has broken that. humidity will suck"
0,@kirchyyy aww  but a very very CONGRATS on a job well done with the rock&amp;roll marathon  frickin awesome!,@kirchyyy aww but a very very congrats on a job well done with the rock&roll marathon frickin awesome!
0,Hello ALL  How we doin this fine day! its so cold today ,hello all how we doin this fine day! its so cold today
0,lunch time has been jokes  double chemistry next :| fun timesss ,lunch time has been jokes double chemistry next :| fun timesss
0,@tommcfly toooooooooooooom  tell me that you'll be right back to Brazil soon ,@tommcfly toooooooooooooom tell me that you'll be right back to brazil soon
1,At work ,at work
1,"@Spitphyre I totally lurve them myself Ree, though they're a bit snug around my waist  Thanks for the dose of enthu! ","@spitphyre i totally lurve them myself ree, though they're a bit snug around my waist thanks for the dose of enthu!"
0,taking the hp trivia on facebook again  then later im making a list of what to do during my last week of summer ,taking the hp trivia on facebook again then later im making a list of what to do during my last week of summer
0,Weekend is nearly over  5th last working day at work for me tomorrow  I can't wait!!,weekend is nearly over 5th last working day at work for me tomorrow i can't wait!!
0,@okcomputer27 You welcome hun  We will be friends always ))) IT sucks that you can't watch videos on that site  *HUGGGSSSSS*,@okcomputer27 you welcome hun we will be friends always ))) it sucks that you can't watch videos on that site *hugggsssss*
0,@CruciFire oh sad bro.. looks like everyone is having a bad day today.. even i was stuck at traffic for half an hour  #blackwednesday ? ,@crucifire oh sad bro.. looks like everyone is having a bad day today.. even i was stuck at traffic for half an hour #blackwednesday ?
1,Good morning twitter ,good morning twitter
1,@ecaps1 bloody idiot!!   just shop him into some gay porn ,@ecaps1 bloody idiot!! just shop him into some gay porn
1,@tommcfly Can you say Hola Mexicanas please please?? juust wanna say that not is hard Â¬Â¬  you forget the mexican fans ,@tommcfly can you say hola mexicanas please please?? juust wanna say that not is hard â¬â¬ you forget the mexican fans
0,"@MissLohan83 Tried, but she went like this---&gt;  and I caved in within seconds and bought her a fairy cake...... ","@misslohan83 tried, but she went like this---> and i caved in within seconds and bought her a fairy cake......"
1,Finished reading &quot;Seven Ancient Wonders&quot;. Still not feeling better  Wonder what's for dinner ,"finished reading ""seven ancient wonders"". still not feeling better wonder what's for dinner"
1,@Bass_ I'd appreciate one if you can rustle it up. No idea how to do it myself  Thanks ,@bass_ i'd appreciate one if you can rustle it up. no idea how to do it myself thanks
1,@CruciFire oh sad bro.. looks like everyone is having a bad day today.. even i was stuck at traffic for half an hour  #blackwednesday ? ,@crucifire oh sad bro.. looks like everyone is having a bad day today.. even i was stuck at traffic for half an hour #blackwednesday ?
1,"@mcherrywv Yes I know  as my school reports would say 'must do much better' Ah well, just in time huh  http://myloc.me/tHq","@mcherrywv yes i know as my school reports would say 'must do much better' ah well, just in time huh http://myloc.me/thq"
1,"@despairxfactor He's my newest one  The other two are rescues, they're previous owner beat them  (Dum Dum is only 3 months in that pic)","@despairxfactor he's my newest one the other two are rescues, they're previous owner beat them (dum dum is only 3 months in that pic)"
0,off to work ,off to work
0,@DavidArchie please make my day..  hope you could reply just a simple &quot;hi&quot;. i would totally be happy for the rest of the year. ,"@davidarchie please make my day.. hope you could reply just a simple ""hi"". i would totally be happy for the rest of the year."
1,@Teairra_Monroe TOTALLY true! You're a walking proof of that!! Quick chat  well..........HAVE FUN GIRL!!!!! ,@teairra_monroe totally true! you're a walking proof of that!! quick chat well..........have fun girl!!!!!
1,"@PatrikIanPolk  Now I remember.  Why' &quot;Desperate Housewives&quot; not make better use of AW, I do not know. ","@patrikianpolk now i remember. why' ""desperate housewives"" not make better use of aw, i do not know."
1,&quot;@mileycyrus&quot;you are the best!!!! I love you  can you give me your e-mail??? I want to write with you but I cant ,"""@mileycyrus""you are the best!!!! i love you can you give me your e-mail??? i want to write with you but i cant"
1,gonna try and get some sleep before i gotta head off to work. another long work week  ...can't wait til friday! karaoke and gyukaku ,gonna try and get some sleep before i gotta head off to work. another long work week ...can't wait til friday! karaoke and gyukaku
0,Project Natal! OMGosh! Its gonna be awesome! But its gonna be at least Â£1000!  I want one now! ,project natal! omgosh! its gonna be awesome! but its gonna be at least â£1000! i want one now!
1,@ddlovato good luck girl! and please please please come back to ARGENTINA!! ARGENTINA!! we miss u girl  love u â¥ u r the best ,@ddlovato good luck girl! and please please please come back to argentina!! argentina!! we miss u girl love u â¥ u r the best
1,@MusicGurlJay thanks  hahaha im having so many brain farts today.really.i got up at like 3am ,@musicgurljay thanks hahaha im having so many brain farts today.really.i got up at like 3am
1,"Ugh school tomorro  but just think, we've only got 16 whole school days left  wooo!!","ugh school tomorro but just think, we've only got 16 whole school days left wooo!!"
